GEOID,NAME,variable,estimate,moe,year
2430325,"Frederick city, Maryland",population,63731,47,2010
2430325,"Frederick city, Maryland",population,64593,65,2011
2430325,"Frederick city, Maryland",population,65171,69,2012
2430325,"Frederick city, Maryland",population,65840,56,2013
2430325,"Frederick city, Maryland",population,66646,75,2014
2430325,"Frederick city, Maryland",population,67421,63,2015
2430325,"Frederick city, Maryland",population,68229,68,2016
2430325,"Frederick city, Maryland",population,69330,93,2017
2430325,"Frederick city, Maryland",population,70166,49,2018
2430325,"Frederick city, Maryland",population,70887,64,2019
2430325,"Frederick city, Maryland",population,71843,60,2020
2430325,"Frederick city, Maryland",population,76376,58,2021
