GEOID,NAME,variable,estimate,moe,year
2436075,"Hagerstown city, Maryland",population,39546,36,2010
2436075,"Hagerstown city, Maryland",population,39706,52,2011
2436075,"Hagerstown city, Maryland",population,40078,44,2012
2436075,"Hagerstown city, Maryland",population,40243,40,2013
2436075,"Hagerstown city, Maryland",population,40295,97,2014
2436075,"Hagerstown city, Maryland",population,40210,66,2015
2436075,"Hagerstown city, Maryland",population,40325,61,2016
2436075,"Hagerstown city, Maryland",population,40222,61,2017
2436075,"Hagerstown city, Maryland",population,40186,40,2018
2436075,"Hagerstown city, Maryland",population,40152,41,2019
2436075,"Hagerstown city, Maryland",population,40027,40,2020
2436075,"Hagerstown city, Maryland",population,43015,44,2021
